카테고리,이벤트타입,방향,엔드포인트,전송방식,설명,요청데이터,응답데이터,예제요청,예제응답,비고,구현예시,버전
메타데이터,-,-,,-,WebSocket 엔드포인트,ws://localhost:8080/ws (개발) / wss://api.yaldi.kr/ws (운영),,,,JWT 인증 (쿠키 또는 Query Parameter),"// 개발 환경
const ws = new WebSocket('ws://localhost:8080/ws');

// 운영 환경
const ws = new WebSocket('wss://api.yaldi.kr/ws');

// 모바일: Query Parameter 인증
const token = getAccessToken();
const ws = new WebSocket(`wss://api.yaldi.kr/ws?token=${token}`);",v1.3.0
메타데이터,-,-,,-,STOMP 프로토콜,STOMP over WebSocket 사용,,,,구독: /topic/project/{projectKey}. 발행: /pub/erd/...,"import SockJS from 'sockjs-client';
import { Stomp } from '@stomp/stompjs';

const socket = new SockJS('http://localhost:8080/ws');
const stompClient = Stomp.over(socket);

stompClient.connect({}, () => {
  // 구독
  stompClient.subscribe('/topic/project/123', (message) => {
    const event = JSON.parse(message.body);
    handleEvent(event);
  });

  // 발행
  stompClient.send('/pub/erd/table/move', {}, JSON.stringify(data));
});",v1.3.0
메타데이터,-,-,,-,보안 정책,Rate Limit: 초당 10개 메시지. Max Message Size: 1MB. 동시 접속: 프로젝트당 24명. OWNER/EDITOR만 발행 가능.,,,,Viewer는 구독만 가능 (읽기 전용),"class RateLimiter {
  constructor(maxPerSecond = 10) {
    this.max = maxPerSecond;
    this.queue = [];
  }

  send(message) {
    const now = Date.now();
    this.queue = this.queue.filter(t => now - t < 1000);

    if (this.queue.length >= this.max) {
      console.warn('Rate limit exceeded');
      return false;
    }

    this.queue.push(now);
    stompClient.send(destination, {}, JSON.stringify(message));
    return true;
  }
}",v1.3.0
메타데이터,-,-,,-,Heartbeat,30초마다 Ping/Pong. 60초 미응답 시 연결 종료. 재연결 시 Exponential Backoff 권장.,,,,자동 재연결: 1s → 2s → 4s → 8s → 최대 30s,"stompClient.connect({
  heartbeat: {
    outgoing: 30000, // 30초
    incoming: 30000
  }
}, onConnect, onError);

function onError(error) {
  console.error('Connection error:', error);
  setTimeout(() => reconnect(), getBackoffDelay());
}

function getBackoffDelay() {
  return Math.min(1000 * Math.pow(2, retryCount), 30000);
}",v1.3.0
연결,CONNECTION_ERROR,서버→클라이언트,,자동,WebSocket 연결 실패,,"{ ""code"": 4001|4003|4004|4429, ""message"": ""string"", ""closeCode"": number }",,"{ ""type"": ""CONNECTION_ERROR"", ""data"": { ""code"": 4003, ""message"": ""프로젝트 편집 권한이 없습니다. Viewer는 읽기 전용입니다."", ""closeCode"": 4003 } }","에러 코드: 4001(Unauthorized), 4003(Forbidden), 4004(Not Found), 4429(Too Many Connections)",,v1.3.0
연결,CONNECTION_ESTABLISHED,서버→클라이언트,,자동,WebSocket 연결 성공,,"{ ""sessionId"": ""string"", ""projectKey"": number, ""userKey"": number, ""role"": ""OWNER|EDITOR|VIEWER"", ""serverTime"": ""ISO 8601"" }",,"{ ""type"": ""CONNECTION_ESTABLISHED"", ""data"": { ""sessionId"": ""sess_abc123"", ""projectKey"": 123, ""userKey"": 456, ""role"": ""EDITOR"", ""serverTime"": ""2025-01-14T12:00:00Z"" } }",연결 성공 시 첫 메시지. OWNER/EDITOR만 발행 가능. Viewer는 구독만 가능.,"stompClient.connect({}, () => {
  console.log('WebSocket 연결됨');

  stompClient.subscribe('/topic/project/123', (message) => {
    const msg = JSON.parse(message.body);
    if (msg.type === 'CONNECTION_ESTABLISHED') {
      console.log('세션 ID:', msg.data.sessionId);
    }
  });
});",v1.3.0
테이블,TABLE_MOVE,클라이언트→서버,,Direct Broadcast,테이블 이동 (드래그 중),"{ ""tableKey"": number, ""xPosition"": number, ""yPosition"": number }",브로드캐스트,"stompClient.send('/pub/erd/table/move', {}, JSON.stringify({
  tableKey: 789,
  xPosition: 150.5,
  yPosition: 250.3
}));","{ ""type"": ""TABLE_MOVE"", ""data"": { ""tableKey"": 789, ""xPosition"": 150.5, ""yPosition"": 250.3 } }",A-1 타입 (Direct Broadcast). Kafka 없이 즉시 전송. DB 저장 없음 (휘발성). 지연시간: 평균 60ms.,"// 테이블 드래그 중
let isDragging = false;

onTableDragStart = (tableKey) => {
  isDragging = true;
};

onTableDrag = (tableKey, x, y) => {
  if (isDragging) {
    stompClient.send('/pub/erd/table/move', {}, JSON.stringify({
      tableKey, xPosition: x, yPosition: y
    }));
  }
};

onTableDragEnd = (tableKey, x, y) => {
  isDragging = false;
  // 최종 위치 저장
  stompClient.send('/pub/erd/table/move/end', {}, JSON.stringify({
    tableKey, xPosition: x, yPosition: y
  }));
};",v1.3.0
테이블,TABLE_MOVE_END,클라이언트→서버,,Kafka,테이블 이동 완료 (드래그 종료),"{ ""tableKey"": number, ""xPosition"": number, ""yPosition"": number }",없음 (DB 저장만),"stompClient.send('/pub/erd/table/move/end', {}, JSON.stringify({
  tableKey: 789,
  xPosition: 150.5,
  yPosition: 250.3
}));",,A-2 타입 (DB 저장). 드래그 완료 시 최종 위치 저장. 응답 없음.,,v1.3.0
테이블,TABLE_NEW,서버→클라이언트,,Kafka,테이블 생성 브로드캐스트,브로드캐스트,"{ ""tableKey"": number, ""projectKey"": number, ""logicalName"": ""string"", ""physicalName"": ""string"", ""xPosition"": number, ""yPosition"": number, ""colorHex"": ""string"", ""createdAt"": ""ISO 8601"", ""updatedAt"": ""ISO 8601"" }",,"{ ""type"": ""TABLE_NEW"", ""data"": { ""tableKey"": 789, ""projectKey"": 123, ""logicalName"": ""사용자"", ""physicalName"": ""users"", ""xPosition"": 100, ""yPosition"": 200, ""colorHex"": ""#3B82F6"", ""createdAt"": ""2025-01-14T12:00:00Z"", ""updatedAt"": ""2025-01-14T12:00:00Z"" } }",A 타입 (REST + Kafka). REST API로 생성 후 Kafka로 브로드캐스트. Batch Compression 적용 (2초 간격).,"// 테이블 생성 이벤트 수신
stompClient.subscribe('/topic/project/123', (message) => {
  const event = JSON.parse(message.body);

  if (event.type === 'TABLE_NEW') {
    const table = event.data;
    addTableToCanvas(table);
  }
});",v1.3.0
테이블,TABLE_LNAME,서버→클라이언트,,Kafka,테이블 논리명 변경,"{ ""tableKey"": number, ""logicalName"": ""string"" }","{ ""tableKey"": number, ""logicalName"": ""string"" }",,"{ ""type"": ""TABLE_LNAME"", ""data"": { ""tableKey"": 789, ""logicalName"": ""회원"" } }",A 타입 (REST + Kafka). REST API로 수정 후 Kafka로 브로드캐스트.,,v1.3.0
테이블,TABLE_PNAME,서버→클라이언트,,Kafka,테이블 물리명 변경,"{ ""tableKey"": number, ""physicalName"": ""string"" }","{ ""tableKey"": number, ""physicalName"": ""string"" }",,"{ ""type"": ""TABLE_PNAME"", ""data"": { ""tableKey"": 789, ""physicalName"": ""members"" } }",A 타입 (REST + Kafka). REST API로 수정 후 Kafka로 브로드캐스트.,,v1.3.0
테이블,TABLE_COLOR,서버→클라이언트,,Kafka,테이블 색상 변경,"{ ""tableKey"": number, ""colorHex"": ""string"" }","{ ""tableKey"": number, ""colorHex"": ""string"" }",,"{ ""type"": ""TABLE_COLOR"", ""data"": { ""tableKey"": 789, ""colorHex"": ""#EF4444"" } }",A 타입 (REST + Kafka). REST API로 수정 후 Kafka로 브로드캐스트.,,v1.3.0
테이블,TABLE_DEL,서버→클라이언트,,Kafka,테이블 삭제,"{ ""tableKey"": number }","{ ""tableKey"": number, ""deletedAt"": ""ISO 8601"" }",,"{ ""type"": ""TABLE_DEL"", ""data"": { ""tableKey"": 789, ""deletedAt"": ""2025-01-14T12:05:00Z"" } }",A 타입 (REST + Kafka). Soft delete. 관련 컬럼/관계도 함께 삭제. REST API로 삭제 후 Kafka로 브로드캐스트.,,v1.3.0
테이블,TABLE_LOCK,클라이언트→서버,,Kafka,테이블 편집 잠금,"{ ""tableKey"": number }",브로드캐스트,"stompClient.send('/pub/erd/table/lock', {}, JSON.stringify({
  tableKey: 789
}));","{ ""type"": ""TABLE_LOCK"", ""data"": { ""tableKey"": 789, ""userEmail"": ""user@example.com"", ""userName"": ""홍길동"" } }",C 타입 (WebSocket + Redis + Kafka). Redis에 락 저장 (TTL 30초). Heartbeat 10초마다 갱신. Kafka로 브로드캐스트. Batch Compression 적용.,"// 테이블 더블클릭 시 잠금
onTableDoubleClick = (tableKey) => {
  stompClient.send('/pub/erd/table/lock', {}, JSON.stringify({
    tableKey
  }));
};

// 잠금 획득 알림 수신
stompClient.subscribe('/topic/project/123', (message) => {
  const event = JSON.parse(message.body);

  if (event.type === 'TABLE_LOCK') {
    const { tableKey, userEmail, userName } = event.data;
    showTableLocked(tableKey, userName);
  }
});",v1.3.0
테이블,TABLE_UNLOCK,클라이언트→서버,,Kafka,테이블 편집 잠금 해제,"{ ""tableKey"": number }",브로드캐스트,"stompClient.send('/pub/erd/table/unlock', {}, JSON.stringify({
  tableKey: 789
}));","{ ""type"": ""TABLE_UNLOCK"", ""data"": { ""tableKey"": 789, ""userEmail"": ""user@example.com"" } }",C 타입 (WebSocket + Redis + Kafka). Redis 락 삭제. Kafka로 브로드캐스트. 연결 해제 시 자동 해제. Batch Compression 적용.,"// 테이블 편집 완료 시 잠금 해제
onTableEditComplete = (tableKey) => {
  stompClient.send('/pub/erd/table/unlock', {}, JSON.stringify({
    tableKey
  }));
};

// WebSocket 연결 해제 시 자동 해제됨 (SessionDisconnectEvent)",v1.3.0
컬럼,COLUMN_NEW,서버→클라이언트,,Kafka,컬럼 생성,브로드캐스트,"{ ""columnKey"": number, ""tableKey"": number, ""logicalName"": ""string"", ""physicalName"": ""string"", ""dataType"": ""string"", ""dataDetail"": [""string""], ""isPrimaryKey"": boolean, ""isNullable"": boolean, ""isUnique"": boolean, ""isIncremental"": boolean, ""defaultValue"": ""string|null"", ""comment"": ""string"", ""columnOrder"": number, ""createdAt"": ""ISO 8601"" }",,"{ ""type"": ""COLUMN_NEW"", ""data"": { ""columnKey"": 456, ""tableKey"": 789, ""logicalName"": ""아이디"", ""physicalName"": ""id"", ""dataType"": ""INTEGER"", ""dataDetail"": [], ""isPrimaryKey"": true, ""isNullable"": false, ""isUnique"": true, ""isIncremental"": true, ""defaultValue"": null, ""comment"": ""사용자 고유 ID"", ""columnOrder"": 1, ""createdAt"": ""2025-01-14T12:03:00Z"" } }","A 타입 (REST + Kafka). REST API로 생성 후 Kafka로 브로드캐스트. dataDetail: VARCHAR(255) → [""255""], DECIMAL(10,2) → [""10"",""2""]. Batch Compression 적용.",,v1.3.0
컬럼,COLUMN_UPDATE,서버→클라이언트,,Kafka,컬럼 수정,브로드캐스트,"{ ""columnKey"": number, ""tableKey"": number, ""logicalName"": ""string"", ""physicalName"": ""string"", ""dataType"": ""string"", ""dataDetail"": [""string""], ""isPrimaryKey"": boolean, ""isNullable"": boolean, ""isUnique"": boolean, ""isIncremental"": boolean, ""defaultValue"": ""string|null"", ""comment"": ""string"", ""updatedAt"": ""ISO 8601"" }",,"{ ""type"": ""COLUMN_UPDATE"", ""data"": { ""columnKey"": 456, ""tableKey"": 789, ""logicalName"": ""사용자 아이디"", ""comment"": ""회원 고유 식별자"", ""updatedAt"": ""2025-01-14T12:04:00Z"" } }",A 타입 (REST + Kafka). REST API로 수정 후 Kafka로 브로드캐스트. Batch Compression 적용.,,v1.3.0
컬럼,COLUMN_ORDER,클라이언트→서버,,Kafka,컬럼 순서 변경,"{ ""columnKey"": number, ""columnOrder"": number }",브로드캐스트,"stompClient.send('/pub/erd/column/reorder', {}, JSON.stringify({
  columnKey: 456,
  columnOrder: 3
}));","{ ""type"": ""COLUMN_ORDER"", ""data"": { ""columnKey"": 456, ""columnOrder"": 3 } }",B 타입 (WebSocket + DB + Kafka). DB 업데이트 후 Kafka로 브로드캐스트. Batch Compression 적용.,"// 컬럼 드래그 앤 드롭으로 순서 변경
onColumnReorder = (columnKey, newOrder) => {
  stompClient.send('/pub/erd/column/reorder', {}, JSON.stringify({
    columnKey,
    columnOrder: newOrder
  }));
};",v1.3.0
컬럼,COLUMN_DEL,서버→클라이언트,,Kafka,컬럼 삭제,브로드캐스트,"{ ""columnKey"": number, ""tableKey"": number, ""deletedAt"": ""ISO 8601"" }",,"{ ""type"": ""COLUMN_DEL"", ""data"": { ""columnKey"": 456, ""tableKey"": 789, ""deletedAt"": ""2025-01-14T12:05:00Z"" } }",A 타입 (REST + Kafka). Soft delete. PK/FK인 경우 관련 관계도 함께 삭제. REST API로 삭제 후 Kafka로 브로드캐스트. Batch Compression 적용.,,v1.3.0
관계,RELATION_NEW,서버→클라이언트,,Kafka,관계 생성,브로드캐스트,"{ ""relationKey"": number, ""projectKey"": number, ""fromTableKey"": number, ""toTableKey"": number, ""relationType"": ""ONE_TO_ONE|ONE_TO_MANY|MANY_TO_ONE|MANY_TO_MANY"", ""constraintName"": ""string"", ""onDeleteAction"": ""CASCADE|SET_NULL|SET_DEFAULT|RESTRICT|NO_ACTION"", ""onUpdateAction"": ""CASCADE|SET_NULL|SET_DEFAULT|RESTRICT|NO_ACTION"", ""createdAt"": ""ISO 8601"" }",,"{ ""type"": ""RELATION_NEW"", ""data"": { ""relationKey"": 345, ""projectKey"": 123, ""fromTableKey"": 789, ""toTableKey"": 012, ""relationType"": ""ONE_TO_MANY"", ""constraintName"": ""fk_users_posts"", ""onDeleteAction"": ""CASCADE"", ""onUpdateAction"": ""NO_ACTION"", ""createdAt"": ""2025-01-14T12:06:00Z"" } }",A 타입 (REST + Kafka). REST API로 생성 후 Kafka로 브로드캐스트. relationType 4가지 지원. Batch Compression 적용.,,v1.3.0
관계,RELATION_UPDATE,서버→클라이언트,,Kafka,관계 수정,브로드캐스트,"{ ""relationKey"": number, ""relationType"": ""ONE_TO_ONE|ONE_TO_MANY|MANY_TO_ONE|MANY_TO_MANY"", ""constraintName"": ""string"", ""onDeleteAction"": ""CASCADE|SET_NULL|SET_DEFAULT|RESTRICT|NO_ACTION"", ""onUpdateAction"": ""CASCADE|SET_NULL|SET_DEFAULT|RESTRICT|NO_ACTION"", ""updatedAt"": ""ISO 8601"" }",,"{ ""type"": ""RELATION_UPDATE"", ""data"": { ""relationKey"": 345, ""relationType"": ""MANY_TO_ONE"", ""constraintName"": ""fk_posts_users"", ""onDeleteAction"": ""SET_NULL"", ""updatedAt"": ""2025-01-14T12:07:00Z"" } }",A 타입 (REST + Kafka). REST API로 수정 후 Kafka로 브로드캐스트. Batch Compression 적용.,,v1.3.0
관계,RELATION_DEL,서버→클라이언트,,Kafka,관계 삭제,브로드캐스트,"{ ""relationKey"": number, ""deletedAt"": ""ISO 8601"" }",,"{ ""type"": ""RELATION_DEL"", ""data"": { ""relationKey"": 345, ""deletedAt"": ""2025-01-14T12:08:00Z"" } }",A 타입 (REST + Kafka). Soft delete. REST API로 삭제 후 Kafka로 브로드캐스트. Batch Compression 적용.,,v1.3.0
커서,CURSOR_POS,클라이언트→서버,,Direct Broadcast,커서 위치 공유,"{ ""projectKey"": number, ""xPosition"": number, ""yPosition"": number }",브로드캐스트,"stompClient.send('/pub/erd/cursor', {}, JSON.stringify({
  projectKey: 123,
  xPosition: 350.5,
  yPosition: 450.3
}));","{ ""type"": ""CURSOR_POS"", ""data"": { ""projectKey"": 123, ""userEmail"": ""user@example.com"", ""userName"": ""홍길동"", ""userColor"": ""#3B82F6"", ""xPosition"": 350.5, ""yPosition"": 450.3 } }",D 타입 (Direct Broadcast). DB/Redis 저장 없음 (완전 휘발성). Kafka 없이 WebSocket으로 즉시 브로드캐스트. 지연시간: 평균 60ms. 초당 최대 30회 전송 권장.,"// 커서 이동 전송 (쓰로틀링)
let lastCursorSent = 0;
const throttleMs = 33; // 30fps

canvas.onmousemove = (e) => {
  const now = Date.now();
  if (now - lastCursorSent < throttleMs) return;

  stompClient.send('/pub/erd/cursor', {}, JSON.stringify({
    projectKey: 123,
    xPosition: e.clientX,
    yPosition: e.clientY
  }));

  lastCursorSent = now;
};

// 다른 사용자 커서 표시
stompClient.subscribe('/topic/project/123', (message) => {
  const event = JSON.parse(message.body);

  if (event.type === 'CURSOR_POS') {
    const { userEmail, userName, userColor, xPosition, yPosition } = event.data;
    updateRemoteCursor(userEmail, userName, userColor, xPosition, yPosition);
  }
});",v1.3.0
멤버,MEMBER_JOIN,서버→클라이언트,,자동,멤버 입장,브로드캐스트,"{ ""userKey"": number, ""userEmail"": ""string"", ""userName"": ""string"", ""role"": ""OWNER|EDITOR|VIEWER"", ""joinedAt"": ""ISO 8601"" }",,"{ ""type"": ""MEMBER_JOIN"", ""data"": { ""userKey"": 789, ""userEmail"": ""user3@example.com"", ""userName"": ""김철수"", ""role"": ""EDITOR"", ""joinedAt"": ""2025-01-14T12:05:00Z"" } }",새 사용자 WebSocket 연결 시 자동 브로드캐스트,"// 멤버 입장 처리
stompClient.subscribe('/topic/project/123', (message) => {
  const event = JSON.parse(message.body);

  if (event.type === 'MEMBER_JOIN') {
    const { userName } = event.data;
    showNotification(`${userName}님이 입장했습니다.`);
    updateOnlineUsersList(event.data);
  }
});",v1.3.0
멤버,MEMBER_LEAVE,서버→클라이언트,,자동,멤버 퇴장,브로드캐스트,"{ ""userKey"": number, ""userEmail"": ""string"", ""userName"": ""string"", ""leftAt"": ""ISO 8601"", ""reason"": ""DISCONNECTED|TIMEOUT|KICKED"" }",,"{ ""type"": ""MEMBER_LEAVE"", ""data"": { ""userKey"": 789, ""userEmail"": ""user3@example.com"", ""userName"": ""김철수"", ""leftAt"": ""2025-01-14T12:10:00Z"", ""reason"": ""DISCONNECTED"" } }","사용자 WebSocket 연결 해제 시 자동 브로드캐스트. reason: DISCONNECTED(연결끊김), TIMEOUT(타임아웃), KICKED(강제퇴장)","// 멤버 퇴장 처리
stompClient.subscribe('/topic/project/123', (message) => {
  const event = JSON.parse(message.body);

  if (event.type === 'MEMBER_LEAVE') {
    const { userName, reason } = event.data;
    showNotification(`${userName}님이 퇴장했습니다.`);
    removeFromOnlineUsersList(event.data);

    // 연결 해제 시 해당 사용자의 모든 락 자동 해제됨
  }
});",v1.3.0
